HUMAN,Monday A BHS,Monday A Red,Monday A Blue,Tuesday A BHS,Tuesday  A Red,Tuesday A Blue,Wednesday A BHS,Wednesday A Red,Wednesday A Blue,Thursday A BHS,Thursday A Red,Thursday A Blue,Friday A BHS,Friday A Red,Friday A Blue,Monday B BHS,Monday B Red,Monday B Blue,Tuesday B BHS,Tuesday B Red,Tuesday B Blue,Wednesday B BHS,Wednesday B Red,Wednesday B Blue,Thursday B BHS,Thursday B Red,Thursday B Blue,Friday B  BHS,Friday B Red,Friday B Blue
8:53 AM,A1,A1,A1,C1,C1,C1,A2,A2,A2,B3,B3,B3,B4,B4,B4,A4,A4,A4,A5,A5,B5,A6,A6,A6,FC,FC,FC,A7,A7,A7
8:54 AM,A1,A1,A1,C1,C1,C1,A2,A2,A2,B3,B3,B3,B4,B4,B4,A4,A4,A4,A5,A5,B5,A6,A6,A6,FC,FC,FC,A7,A7,A7
8:55 AM,A1,A1,A1,C1,C1,C1,A2,A2,P,B3,B3,B3,B4,B4,P,A4,A4,A4,A5,A5,B5,A6,A6,A6,FC,FC,FC,A7,A7,A7
8:56 AM,A1,A1,A1,C1,C1,C1,A2,A2,P,B3,B3,B3,B4,B4,P,A4,A4,A4,A5,A5,B5,A6,A6,A6,FC,FC,FC,A7,A7,A7
8:57 AM,A1,A1,A1,C1,C1,C1,A2,A2,P,B3,B3,B3,B4,B4,P,A4,A4,A4,A5,A5,B5,A6,A6,A6,FC,FC,FC,A7,A7,A7
8:58 AM,A1,A1,A1,C1,C1,C1,A2,A2,P,B3,B3,B3,B4,B4,P,A4,A4,A4,A5,A5,B5,A6,A6,A6,FC,FC,FC,A7,A7,A7
8:59 AM,A1,A1,A1,C1,C1,C1,A2,A2,B2,B3,B3,B3,B4,B4,C3,A4,A4,A4,A5,A5,B5,A6,A6,A6,FC,FC,FC,A7,A7,A7
9:00 AM,A1,A1,P,C1,C1,C1,A2,A2,B2,B3,B3,B3,B4,B4,C3,A4,A4,P,A5,A5,B5,A6,A6,P,FC,FC,FC,A7,A7,A7
9:01 AM,A1,A1,P,C1,C1,C1,A2,A2,B2,B3,B3,B3,B4,B4,C3,A4,A4,P,A5,A5,B5,A6,A6,P,FC,FC,FC,A7,A7,A7
9:02 AM,A1,A1,P,C1,C1,C1,A2,A2,B2,B3,B3,B3,B4,B4,C3,A4,A4,P,A5,A5,B5,A6,A6,P,FC,FC,FC,A7,A7,A7
9:03 AM,A1,A1,P,C1,C1,C1,A2,A2,B2,B3,B3,B3,B4,B4,C3,A4,A4,P,A5,A5,B5,A6,A6,P,FC,FC,FC,A7,A7,A7
9:04 AM,A1,A1,B1,C1,C1,C1,A2,A2,B2,B3,B3,B3,B4,B4,C3,A4,A4,T3,A5,A5,B5,A6,A6,P,FC,FC,FC,A7,A7,A7
9:05 AM,A1,A1,B1,C1,C1,C1,A2,A2,B2,B3,B3,B3,B4,B4,C3,A4,A4,T3,A5,A5,P,A6,A6,B6,FC,FC,FC,A7,A7,A7
9:06 AM,A1,A1,B1,C1,C1,C1,A2,A2,B2,B3,B3,B3,B4,B4,C3,A4,A4,T3,A5,A5,P,A6,A6,B6,FC,FC,FC,A7,A7,A7
9:07 AM,A1,A1,B1,C1,C1,C1,A2,A2,B2,B3,B3,B3,B4,B4,C3,A4,A4,T3,A5,A5,P,A6,A6,B6,FC,FC,FC,A7,A7,A7
9:08 AM,A1,A1,B1,C1,C1,C1,A2,A2,B2,B3,B3,B3,B4,B4,C3,A4,A4,T3,A5,A5,P,A6,A6,B6,FC,FC,FC,A7,A7,A7
9:09 AM,A1,A1,B1,C1,C1,C1,A2,A2,B2,B3,B3,B3,B4,B4,C3,A4,A4,T3,A5,A5,P,A6,A6,B6,FC,FC,FC,A7,A7,A7
9:10 AM,A1,A1,B1,C1,C1,P,A2,A2,B2,B3,B3,B3,B4,B4,C3,A4,A4,T3,A5,A5,A5,A6,A6,B6,FC,FC,FC,A7,A7,A7
9:11 AM,A1,A1,B1,C1,C1,P,A2,A2,B2,B3,B3,B3,B4,B4,C3,A4,A4,T3,A5,A5,A5,A6,A6,B6,FC,FC,FC,A7,A7,A7
9:12 AM,A1,A1,B1,C1,C1,P,A2,A2,B2,B3,B3,B3,B4,B4,C3,A4,A4,T3,A5,A5,A5,A6,A6,B6,FC,FC,FC,A7,A7,A7
9:13 AM,A1,A1,B1,C1,C1,P,A2,A2,B2,B3,B3,B3,B4,B4,C3,A4,A4,T3,A5,A5,A5,A6,A6,B6,FC,FC,FC,A7,A7,A7
